اصطلاح,تعریف,دسته
نرم‌افزار اختصاصی,نرم‌افزاری که مخصوص فرایند و نیاز یک کسب‌وکار خاص طراحی و توسعه داده می‌شود، برخلاف نرم‌افزار آماده‌ی بازار,برنامه‌نویسی
اپلیکیشن وب,نرم‌افزاری که از طریق مرورگر اینترنت (بدون نصب) در دسترس است,برنامه‌نویسی
اپلیکیشن موبایل,نرم‌افزاری که روی گوشی هوشمند نصب و اجرا می‌شود,برنامه‌نویسی
هوش مصنوعی (AI),فناوری‌ای که به نرم‌افزار امکان می‌دهد کارهایی شبیه درک زبان، پاسخ‌گویی یا تصمیم‌گیری را انجام دهد,هوش مصنوعی
دستیار هوشمند,نرم‌افزار مبتنی بر هوش مصنوعی که به سؤالات کاربر پاسخ می‌دهد یا کارها را انجام می‌دهد,هوش مصنوعی
منشی هوشمند,دستیار هوشمندی که وظایف پاسخ‌گویی و هماهنگی اولیه‌ی مشتریان را انجام می‌دهد,هوش مصنوعی
ایجنت هوش مصنوعی (AI Agent),برنامه‌ی هوش مصنوعی که می‌تواند به‌صورت خودکار وظایف چندمرحله‌ای را انجام دهد,هوش مصنوعی
اتوماسیون,خودکارسازی کارهای تکراری برای کاهش نیاز به انجام دستی,هوش مصنوعی
چت‌بات,نرم‌افزاری که از طریق گفت‌وگوی متنی با کاربر تعامل می‌کند,هوش مصنوعی
RAG (بازیابی + تولید پاسخ),روشی که در آن چت‌بات پیش از پاسخ‌دادن، اطلاعات مرتبط را از پایگاه دانش شرکت جست‌وجو می‌کند تا پاسخ دقیق‌تر و مبتنی بر واقعیت بدهد,هوش مصنوعی
دیتاساینس,علم استخراج بینش و الگو از داده‌های خام برای کمک به تصمیم‌گیری,دیتاساینس
تحلیل داده,بررسی داده‌ها برای پیدا کردن روند، الگو یا نتیجه‌گیری قابل‌استفاده,دیتاساینس
داشبورد,صفحه‌ای که خلاصه و گزارش داده‌های مهم کسب‌وکار را به‌صورت بصری نشان می‌دهد,دیتاساینس
CRM (مدیریت ارتباط با مشتری),سامانه‌ای برای ثبت، پیگیری و مدیریت مشتریان، سرنخ‌های فروش و معاملات,CRM
سرنخ فروش (لید),فرد یا کسب‌وکاری که پتانسیل تبدیل‌شدن به مشتری را دارد,CRM
قیف فروش,مسیر مرحله‌به‌مرحله‌ای که مشتری بالقوه تا خرید طی می‌کند,CRM
زیرساخت فناوری اطلاعات,مجموعه‌ی سخت‌افزار، شبکه و سیستم‌هایی که فعالیت فناورانه‌ی یک سازمان روی آن‌ها اجرا می‌شود,زیرساخت
شبکه‌ی کامپیوتری,ارتباط و اتصال چند دستگاه برای اشتراک‌گذاری داده و منابع,زیرساخت
شبکه‌ی سیمی و بی‌سیم,دو روش اصلی اتصال دستگاه‌ها به شبکه؛ با کابل یا از طریق Wi-Fi,زیرساخت
امنیت شبکه,مجموعه‌ی اقدامات فنی برای محافظت از شبکه و داده‌ها در برابر دسترسی غیرمجاز,زیرساخت
پیشنهاد فنی,سند نهایی‌ای که محدوده‌ی کار، زمان‌بندی، خروجی و هزینه‌ی یک پروژه را مشخص می‌کند,فرایند
